date,time,no2Value,longitude,latitude,regionName
24-03-2019,08:14:04,7.91E-05,77.125,28.775,North
25-03-2019,07:55:09,1.05E-04,77.125,28.775,North
26-03-2019,07:36:14,1.21E-04,77.125,28.775,North
27-03-2019,07:17:19,9.68E-05,77.125,28.775,North
28-03-2019,06:58:24,1.43E-04,77.125,28.775,North
29-03-2019,06:39:29,1.26E-04,77.125,28.775,North
29-03-2019,08:20:59,9.46E-05,77.125,28.775,North
30-03-2019,08:02:04,1.52E-04,77.125,28.775,North
31-03-2019,07:43:08,1.13E-04,77.125,28.775,North
01-04-2019,07:24:14,1.33E-04,77.125,28.775,North
02-04-2019,07:05:18,1.65E-04,77.125,28.775,North
03-04-2019,06:46:23,1.12E-04,77.125,28.775,North
04-04-2019,08:08:58,1.71E-04,77.125,28.775,North
05-04-2019,07:50:03,2.70E-04,77.125,28.775,North
06-04-2019,07:31:08,1.31E-04,77.125,28.775,North
07-04-2019,07:12:13,1.64E-04,77.125,28.775,North
08-04-2019,06:53:17,2.69E-04,77.125,28.775,North
09-04-2019,06:34:21,1.87E-04,77.125,28.775,North
09-04-2019,08:15:51,1.35E-04,77.125,28.775,North
10-04-2019,07:56:56,1.28E-04,77.125,28.775,North
11-04-2019,07:38:01,1.28E-04,77.125,28.775,North
12-04-2019,07:19:05,1.36E-04,77.125,28.775,North
13-04-2019,07:00:10,1.06E-04,77.125,28.775,North
14-04-2019,06:41:14,1.05E-04,77.125,28.775,North
14-04-2019,08:22:44,1.04E-04,77.125,28.775,North
15-04-2019,08:03:48,1.19E-04,77.125,28.775,North
17-04-2019,07:25:56,1.34E-04,77.125,28.775,North
18-04-2019,07:07:00,1.59E-04,77.125,28.775,North
19-04-2019,06:48:05,1.05E-04,77.125,28.775,North
20-04-2019,08:10:39,1.42E-04,77.125,28.775,North
21-04-2019,07:51:42,1.07E-04,77.125,28.775,North
22-04-2019,07:32:47,1.64E-04,77.125,28.775,North
23-04-2019,07:13:51,1.67E-04,77.125,28.775,North
24-04-2019,06:54:54,1.62E-04,77.125,28.775,North
25-04-2019,06:35:58,1.44E-04,77.125,28.775,North
25-04-2019,08:17:28,1.38E-04,77.125,28.775,North
26-04-2019,07:58:32,1.01E-04,77.125,28.775,North
27-04-2019,07:39:35,1.11E-04,77.125,28.775,North
28-04-2019,07:20:38,1.04E-04,77.125,28.775,North
29-04-2019,07:01:41,1.17E-04,77.125,28.775,North
30-04-2019,06:42:45,1.59E-04,77.125,28.775,North
30-04-2019,08:24:15,1.71E-04,77.125,28.775,North
01-05-2019,08:05:18,1.48E-04,77.125,28.775,North
02-05-2019,07:46:20,1.25E-04,77.125,28.775,North
03-05-2019,07:27:24,1.42E-04,77.125,28.775,North
04-05-2019,07:08:27,1.29E-04,77.125,28.775,North
05-05-2019,06:49:30,1.23E-04,77.125,28.775,North
06-05-2019,08:12:02,1.36E-04,77.125,28.775,North
07-05-2019,07:53:05,1.21E-04,77.125,28.775,North
08-05-2019,07:34:08,1.37E-04,77.125,28.775,North
09-05-2019,07:15:09,1.45E-04,77.125,28.775,North
10-05-2019,06:56:11,1.13E-04,77.125,28.775,North
11-05-2019,06:37:13,1.35E-04,77.125,28.775,North
11-05-2019,08:18:43,1.28E-04,77.125,28.775,North
12-05-2019,07:59:46,1.34E-04,77.125,28.775,North
13-05-2019,07:40:48,2.07E-04,77.125,28.775,North
14-05-2019,07:21:49,1.70E-04,77.125,28.775,North
15-05-2019,07:02:51,8.76E-05,77.125,28.775,North
16-05-2019,06:43:53,2.06E-04,77.125,28.775,North
16-05-2019,08:25:24,1.18E-04,77.125,28.775,North
17-05-2019,08:06:25,1.51E-04,77.125,28.775,North
18-05-2019,07:47:26,1.34E-04,77.125,28.775,North
19-05-2019,07:28:27,1.57E-04,77.125,28.775,North
20-05-2019,07:09:28,1.29E-04,77.125,28.775,North
21-05-2019,06:50:29,1.25E-04,77.125,28.775,North
22-05-2019,08:13:00,6.34E-05,77.125,28.775,North
23-05-2019,07:54:01,1.50E-04,77.125,28.775,North
24-05-2019,07:35:03,6.91E-05,77.125,28.775,North
25-05-2019,07:16:02,1.25E-04,77.125,28.775,North
26-05-2019,06:57:03,1.21E-04,77.125,28.775,North
27-05-2019,06:38:04,1.10E-04,77.125,28.775,North
27-05-2019,08:19:33,1.27E-04,77.125,28.775,North
28-05-2019,08:00:34,1.21E-04,77.125,28.775,North
29-05-2019,07:41:34,1.36E-04,77.125,28.775,North
30-05-2019,07:22:34,1.43E-04,77.125,28.775,North
31-05-2019,07:03:34,1.64E-04,77.125,28.775,North
01-06-2019,06:44:33,1.94E-04,77.125,28.775,North
01-06-2019,08:26:04,1.50E-04,77.125,28.775,North
02-06-2019,08:07:04,1.69E-04,77.125,28.775,North
03-06-2019,07:48:03,1.88E-04,77.125,28.775,North
04-06-2019,07:29:02,1.87E-04,77.125,28.775,North
05-06-2019,07:10:02,1.59E-04,77.125,28.775,North
06-06-2019,06:51:02,1.54E-04,77.125,28.775,North
07-06-2019,08:13:30,1.43E-04,77.125,28.775,North
08-06-2019,07:54:30,1.69E-04,77.125,28.775,North
09-06-2019,07:35:28,2.12E-04,77.125,28.775,North
10-06-2019,07:16:26,1.75E-04,77.125,28.775,North
11-06-2019,06:57:25,9.44E-05,77.125,28.775,North
12-06-2019,06:38:24,1.48E-04,77.125,28.775,North
12-06-2019,08:19:54,1.30E-04,77.125,28.775,North
13-06-2019,08:00:52,1.28E-04,77.125,28.775,North
14-06-2019,07:41:50,1.49E-04,77.125,28.775,North
15-06-2019,07:22:49,1.25E-04,77.125,28.775,North
16-06-2019,07:03:47,6.51E-05,77.125,28.775,North
17-06-2019,06:44:45,3.30E-05,77.125,28.775,North
17-06-2019,08:26:15,7.21E-05,77.125,28.775,North
18-06-2019,08:07:12,1.11E-04,77.125,28.775,North
19-06-2019,07:48:09,1.98E-04,77.125,28.775,North
