date,no2Value,longitude,latitude,regionName,day,month,year,weekday
2019-03-09,0.1273135165451486,77.30505,28.64684584,Delhi,9,3,2019,5
2019-03-10,0.1800336511497476,77.30505,28.64684584,Delhi,10,3,2019,6
2019-03-11,0.1194615816040381,77.30505,28.64684584,Delhi,11,3,2019,0
2019-03-12,0.0994952327537857,77.30505,28.64684584,Delhi,12,3,2019,1
2019-03-13,0.117274256870443,77.30505,28.64684584,Delhi,13,3,2019,2
2019-03-14,0.0695457094784071,77.30505,28.64684584,Delhi,14,3,2019,3
2019-03-15,0.1598429613011777,77.30505,28.64684584,Delhi,15,3,2019,4
2019-03-16,0.1643297812675266,77.30505,28.64684584,Delhi,16,3,2019,5
2019-03-17,0.1587212563095905,77.30505,28.64684584,Delhi,17,3,2019,6
2019-03-18,0.2170499158721256,77.30505,28.64684584,Delhi,18,3,2019,0
2019-03-19,0.1426434847634324,77.30505,28.64684584,Delhi,19,3,2019,1
2019-03-20,0.1519910263600673,77.30505,28.64684584,Delhi,20,3,2019,2
2019-03-21,0.1160964666292765,77.30505,28.64684584,Delhi,21,3,2019,3
2019-03-22,0.1217049915872125,77.30505,28.64684584,Delhi,22,3,2019,4
2019-03-23,0.1205832865956253,77.30505,28.64684584,Delhi,23,3,2019,5
2019-03-24,0.1060011217049916,77.30505,28.64684584,Delhi,24,3,2019,6
2019-03-25,0.1385305664610207,77.30505,28.64684584,Delhi,25,3,2019,0
2019-03-26,0.1441390914189568,77.30505,28.64684584,Delhi,26,3,2019,1
2019-03-27,0.1798934380257992,77.30505,28.64684584,Delhi,27,3,2019,2
2019-03-28,0.1774864460646102,77.30505,28.64684584,Delhi,28,3,2019,3
2019-03-29,0.2131239484015704,77.30505,28.64684584,Delhi,29,3,2019,4
2019-03-30,0.2473359506449804,77.30505,28.64684584,Delhi,30,3,2019,5
2019-03-31,0.1418956814357823,77.30505,28.64684584,Delhi,31,3,2019,6
2019-04-01,0.1699383062254627,77.30505,28.64684584,Delhi,1,4,2019,0
2019-04-02,0.28771733034212,77.30505,28.64684584,Delhi,2,4,2019,1
2019-04-03,0.1777902411665732,77.30505,28.64684584,Delhi,3,4,2019,2
2019-04-04,0.2058328659562535,77.30505,28.64684584,Delhi,4,4,2019,3
2019-04-05,0.2249018508132361,77.30505,28.64684584,Delhi,5,4,2019,4
2019-04-06,0.2204150308468872,77.30505,28.64684584,Delhi,6,4,2019,5
2019-04-07,0.1575995513180033,77.30505,28.64684584,Delhi,7,4,2019,6
2019-04-08,0.2058328659562535,77.30505,28.64684584,Delhi,8,4,2019,0
2019-04-09,0.1845204711160964,77.30505,28.64684584,Delhi,9,4,2019,1
2019-04-10,0.2103196859226023,77.30505,28.64684584,Delhi,10,4,2019,2
2019-04-11,0.1710600112170499,77.30505,28.64684584,Delhi,11,4,2019,3
2019-04-12,0.160964666292765,77.30505,28.64684584,Delhi,12,4,2019,4
2019-04-13,0.1340437464946718,77.30505,28.64684584,Delhi,13,4,2019,5
2019-04-14,0.1228266965786876,77.30505,28.64684584,Delhi,14,4,2019,6
2019-04-15,0.160964666292765,77.30505,28.64684584,Delhi,15,4,2019,0
2019-04-16,0.1261918115535614,77.30505,28.64684584,Delhi,16,4,2019,1
2019-04-17,0.1418956814357823,77.30505,28.64684584,Delhi,17,4,2019,2
2019-04-18,0.2114413909141896,77.30505,28.64684584,Delhi,18,4,2019,3
2019-04-19,0.1486259113853056,77.30505,28.64684584,Delhi,19,4,2019,4
2019-04-20,0.160964666292765,77.30505,28.64684584,Delhi,20,4,2019,5
2019-04-21,0.1553561413348289,77.30505,28.64684584,Delhi,21,4,2019,6
2019-04-22,0.2047111609646663,77.30505,28.64684584,Delhi,22,4,2019,0
2019-04-23,0.2209758833426808,77.30505,28.64684584,Delhi,23,4,2019,1
2019-04-24,0.1519910263600673,77.30505,28.64684584,Delhi,24,4,2019,2
2019-04-25,0.1615255187885586,77.30505,28.64684584,Delhi,25,4,2019,3
2019-04-26,0.1542344363432417,77.30505,28.64684584,Delhi,26,4,2019,4
2019-04-27,0.160964666292765,77.30505,28.64684584,Delhi,27,4,2019,5
2019-04-28,0.145260796410544,77.30505,28.64684584,Delhi,28,4,2019,6
2019-04-29,0.1676948962422882,77.30505,28.64684584,Delhi,29,4,2019,0
